rank_title,total_score,google_absolute_volume,google_surge_ratio,naver_trend_sum,naver_growth_slope
날씨,88.57,200000.0,200.0,491.18,10.14
울산날씨,53.03,100.0,400.0,430.52,8.83
강풍 경보,50.0,200000.0,600.0,0.05,0.0
부산날씨,45.65,500.0,100.0,439.71,9.15
날씨예보,45.22,200.0,100.0,432.26,9.25
내일 날씨,37.7,200000.0,75.0,22.12,0.76
일기예보,15.0,500.0,200.0,112.53,2.26
대구 날씨,6.64,500.0,100.0,57.01,1.21
天気,6.43,100.0,300.0,0.03,0.0
wind warning,6.43,100.0,300.0,0.0,0.0
