rank_title,total_score,google_absolute_volume,google_surge_ratio,naver_trend_sum,naver_growth_slope
김인호,57.71,10000.0,700.0,49.66,2.46
sk하이닉스,55.7,5000.0,300.0,307.35,6.45
비트코인,51.35,5000.0,200.0,349.12,2.91
케이뱅크 공모주,48.2,2000.0,300.0,281.55,9.95
달러 환율,38.68,200.0,75.0,465.4,1.87
기상청,35.23,1000.0,100.0,275.11,7.08
우리기술,35.05,100.0,300.0,242.38,7.55
에어로케이,32.36,2000.0,300.0,270.45,-0.43
액스비스,27.17,100.0,100.0,165.41,9.45
에스팀,26.13,1000.0,300.0,101.95,6.53
