rank_title,total_score,google_absolute_volume,google_surge_ratio,naver_trend_sum,naver_growth_slope
유튜브 문제가 발생했습니다,53.45,100000.0,1000.0,15.46,-1.1
파반느,50.76,10000.0,500.0,231.73,11.77
찬란한 너의 계절에,46.94,5000.0,400.0,260.69,8.24
김은희,46.78,2000.0,400.0,315.78,3.15
김규리,43.44,500.0,600.0,315.89,-2.85
xg,41.86,200.0,200.0,260.9,8.16
윤영경,40.0,5000.0,900.0,100.16,10.72
정동원,37.32,500.0,100.0,249.83,6.45
윤하,34.51,500.0,600.0,225.54,-1.78
꽃분이,31.79,2000.0,500.0,135.62,6.41
