rank_title,positioning,volume_score,momentum_score,total_score
김인호,👑 메가 트렌드 (대세),55.05,63.92,57.71
sk하이닉스,👑 메가 트렌드 (대세),57.66,51.14,55.7
비트코인,💎 스테디셀러 (꾸준함),62.17,26.09,51.35
케이뱅크 공모주,👑 메가 트렌드 (대세),39.72,68.0,48.2
달러 환율,💎 스테디셀러 (꾸준함),50.51,11.08,38.68
기상청,🏕️ 니치 마켓 (틈새시장),33.97,38.18,35.23
우리기술,🚀 라이징 스타 (급상승),25.89,56.44,35.05
에어로케이,🏕️ 니치 마켓 (틈새시장),38.52,18.0,32.36
액스비스,🚀 라이징 스타 (급상승),17.56,49.59,27.17
에스팀,🚀 라이징 스타 (급상승),15.25,51.53,26.13
