rank_title,positioning,volume_score,momentum_score,total_score
엘에이 fc 대 인터 마이애미,💎 스테디셀러 (꾸준함),50.0,50.0,50.0
인천유나이티드,💎 스테디셀러 (꾸준함),50.0,42.08,47.62
mls,👑 메가 트렌드 (대세),27.44,89.03,45.92
노시환,🚀 라이징 스타 (급상승),15.95,100.0,41.17
레알 에스파냐 대 엘에이 fc,💎 스테디셀러 (꾸준함),24.97,50.0,32.48
토트넘 대 아스널,💎 스테디셀러 (꾸준함),24.97,50.0,32.48
맨 시티 대 뉴캐슬,🏕️ 니치 마켓 (틈새시장),18.92,50.0,28.24
as 모나코 대 psg,🏕️ 니치 마켓 (틈새시장),12.48,50.0,23.73
psg 대 메스,🏕️ 니치 마켓 (틈새시장),12.46,50.0,23.72
울브스 대 아스널,🏕️ 니치 마켓 (틈새시장),12.46,50.0,23.72
